detection_id;reader_uwb_id;tag_id;tag_temperature;distance;insert_timestamp
4368916;674;5916;22;5,26;2022-09-28 08:00:00
4368917;674;5916;23;5,22;2022-09-28 08:00:05
4368918;674;5916;23;5,21;2022-09-28 08:00:10
4368919;674;5916;22;5,24;2022-09-28 08:00:15
4368920;674;5916;23;5,22;2022-09-28 08:00:20
4368921;674;5916;23;5,24;2022-09-28 08:00:25
4368922;674;5916;23;5,22;2022-09-28 08:00:30
4368923;674;5916;23;5,23;2022-09-28 08:00:35
4368924;674;5916;23;5,23;2022-09-28 08:00:40
4368925;674;5916;22;5,24;2022-09-28 08:00:45
4368926;674;5916;23;5,23;2022-09-28 08:00:50
4368927;674;5916;23;5,23;2022-09-28 08:00:55
4368928;674;5916;22;5,23;2022-09-28 08:01:00
4368929;674;5916;22;5,22;2022-09-28 08:01:05
4368930;674;5916;23;5,23;2022-09-28 08:01:10
4368931;674;5916;23;5,24;2022-09-28 08:01:15
4368932;674;5916;23;5,24;2022-09-28 08:01:20
4368933;674;5916;23;5,24;2022-09-28 08:01:25
4368934;674;5916;22;5,25;2022-09-28 08:01:30
4368935;674;5916;23;5,21;2022-09-28 08:01:35
4368936;674;5916;23;5,26;2022-09-28 08:01:40
4368937;674;5916;22;5,27;2022-09-28 08:01:45
4368938;674;5916;22;5,24;2022-09-28 08:01:50
4368939;674;5916;23;5,22;2022-09-28 08:01:55
4368940;674;5916;23;5,23;2022-09-28 08:02:00
4368941;674;5916;23;5,24;2022-09-28 08:02:05
4368942;674;5916;23;5,2;2022-09-28 08:02:10
4368943;674;5916;23;5,23;2022-09-28 08:02:15
4368944;674;5916;23;5,26;2022-09-28 08:02:20
4368945;674;5916;23;5,21;2022-09-28 08:02:25
4368946;674;5916;23;5,25;2022-09-28 08:02:30
4368947;674;5916;23;5,23;2022-09-28 08:02:35
4368948;674;5916;23;5,26;2022-09-28 08:02:41
4368949;674;5916;23;5,22;2022-09-28 08:02:46
4368950;674;5916;23;5,24;2022-09-28 08:02:51
4368951;674;5916;23;5,24;2022-09-28 08:02:56
4368952;674;5916;23;5,24;2022-09-28 08:03:01
4368953;674;5916;23;5,23;2022-09-28 08:03:06
4368954;674;5916;23;5,24;2022-09-28 08:03:11
4368955;674;5916;23;5,27;2022-09-28 08:03:16
4368956;674;5916;23;5,24;2022-09-28 08:03:21
4368957;674;5916;22;5,26;2022-09-28 08:03:26
4368958;674;5916;23;5,23;2022-09-28 08:03:31
4368959;674;5916;23;5,26;2022-09-28 08:03:36
4368960;674;5916;23;5,26;2022-09-28 08:03:41
4368961;674;5916;22;5,25;2022-09-28 08:03:46
4368962;674;5916;23;5,25;2022-09-28 08:03:51
4368963;674;5916;23;5,21;2022-09-28 08:03:56
4368964;674;5916;23;5,24;2022-09-28 08:04:01
4368965;674;5916;23;5,27;2022-09-28 08:04:06
4368966;674;5916;23;5,26;2022-09-28 08:04:11
4368967;674;5916;23;5,24;2022-09-28 08:04:16
4368968;674;5916;23;5,25;2022-09-28 08:04:21
4368969;674;5916;23;5,23;2022-09-28 08:04:26
4368970;674;5916;23;5,25;2022-09-28 08:04:31
4368971;674;5916;23;5,25;2022-09-28 08:04:36
4368972;674;5916;23;5,24;2022-09-28 08:04:41
4368973;674;5916;22;5,22;2022-09-28 08:04:46
4368974;674;5916;23;5,26;2022-09-28 08:04:51
4368975;674;5916;23;5,3;2022-09-28 08:04:56
4368976;674;5916;23;5,25;2022-09-28 08:05:01
4368977;674;5916;23;5,28;2022-09-28 08:05:06
4368978;674;5916;22;5,27;2022-09-28 08:05:11
4368979;674;5916;22;5,23;2022-09-28 08:05:16
4368980;674;5916;23;5,23;2022-09-28 08:05:21
4368981;674;5916;23;5,23;2022-09-28 08:05:26
4368982;674;5916;23;5,22;2022-09-28 08:05:31
4368983;674;5916;23;5,23;2022-09-28 08:05:36
4368984;674;5916;23;5,27;2022-09-28 08:05:41
4368985;674;5916;23;5,24;2022-09-28 08:05:46
4368986;674;5916;23;5,2;2022-09-28 08:05:51
4368987;674;5916;22;5,27;2022-09-28 08:05:56
4368988;674;5916;23;5,25;2022-09-28 08:06:02
4368989;674;5916;23;5,25;2022-09-28 08:06:07
4368990;674;5916;23;5,25;2022-09-28 08:06:12
4368991;674;5916;22;5,23;2022-09-28 08:06:17
4368992;674;5916;23;5,22;2022-09-28 08:06:22
4368993;674;5916;23;5,25;2022-09-28 08:06:27
4368994;674;5916;22;5,26;2022-09-28 08:06:32
4368995;674;5916;23;5,23;2022-09-28 08:06:37
4368996;674;5916;23;5,23;2022-09-28 08:06:42
4368997;674;5916;23;5,23;2022-09-28 08:06:47
4368998;674;5916;23;5,22;2022-09-28 08:06:52
4368999;674;5916;23;5,25;2022-09-28 08:06:57
4369000;674;5916;22;5,23;2022-09-28 08:07:02
4369001;674;5916;23;5,25;2022-09-28 08:07:07
4369002;674;5916;23;5,25;2022-09-28 08:07:12
4369003;674;5916;22;5,21;2022-09-28 08:07:17
4369004;674;5916;23;5,21;2022-09-28 08:07:22
4369005;674;5916;23;5,27;2022-09-28 08:07:27
4369006;674;5916;23;5,25;2022-09-28 08:07:32
4369007;674;5916;23;5,22;2022-09-28 08:07:37
4369008;674;5916;23;5,25;2022-09-28 08:07:42
4369009;674;5916;23;5,28;2022-09-28 08:07:47
4369010;674;5916;23;5,25;2022-09-28 08:07:52
4369011;674;5916;23;5,21;2022-09-28 08:07:57
4369012;674;5916;23;5,26;2022-09-28 08:08:02
4369013;674;5916;23;5,28;2022-09-28 08:08:07
4369014;674;5916;23;5,22;2022-09-28 08:08:12
4369015;674;5916;23;5,29;2022-09-28 08:08:17
4369016;674;5916;23;5,23;2022-09-28 08:08:22
4369017;674;5916;23;5,22;2022-09-28 08:08:27
4369018;674;5916;23;5,23;2022-09-28 08:08:32
4369019;674;5916;23;5,24;2022-09-28 08:08:37
4369020;674;5916;23;5,2;2022-09-28 08:08:42
4369021;674;5916;23;5,23;2022-09-28 08:08:47
4369022;674;5916;23;5,2;2022-09-28 08:08:52
4369023;674;5916;23;5,17;2022-09-28 08:08:57
4369024;674;5916;23;5,18;2022-09-28 08:09:02
4369025;674;5916;23;5,18;2022-09-28 08:09:07
4369026;674;5916;23;5,19;2022-09-28 08:09:12
4369027;674;5916;23;5,19;2022-09-28 08:09:17
4369028;674;5916;23;5,15;2022-09-28 08:09:22
4369029;674;5916;23;5,15;2022-09-28 08:09:28
4369030;674;5916;23;5,16;2022-09-28 08:09:33
4369031;674;5916;23;5,16;2022-09-28 08:09:38
4369032;674;5916;23;5,16;2022-09-28 08:09:43
4369033;674;5916;23;5,19;2022-09-28 08:09:48
4369034;674;5916;23;5,16;2022-09-28 08:09:53
4369035;674;5916;23;5,17;2022-09-28 08:09:58
4369036;674;5916;23;5,18;2022-09-28 08:10:03
4369037;674;5916;23;5,16;2022-09-28 08:10:08
4369038;674;5916;23;5,19;2022-09-28 08:10:13
4369039;674;5916;23;5,18;2022-09-28 08:10:18
4369040;674;5916;23;5,16;2022-09-28 08:10:23
4369041;674;5916;23;5,19;2022-09-28 08:10:28
4369042;674;5916;23;5,16;2022-09-28 08:10:33
4369043;674;5916;23;5,19;2022-09-28 08:10:38
4369044;674;5916;23;5,16;2022-09-28 08:10:43
4369045;674;5916;23;5,16;2022-09-28 08:10:48
4369046;674;5916;23;5,17;2022-09-28 08:10:53
4369047;674;5916;23;5,27;2022-09-28 08:10:58
4369048;674;5916;23;5,32;2022-09-28 08:11:03
4369049;674;5916;23;5,3;2022-09-28 08:11:08
4369050;674;5916;23;5,2;2022-09-28 08:11:13
4369051;674;5916;23;5,23;2022-09-28 08:11:18
4369052;674;5916;23;5,17;2022-09-28 08:11:23
4369053;674;5916;22;5,3;2022-09-28 08:11:28
4369054;674;5916;22;5,3;2022-09-28 08:11:33
4369055;674;5916;23;5,24;2022-09-28 08:11:38
4369056;674;5916;23;5,23;2022-09-28 08:11:43
4369057;674;5916;23;5,29;2022-09-28 08:11:48
4369058;674;5916;23;5,2;2022-09-28 08:11:53
4369059;674;5916;23;5,2;2022-09-28 08:11:58
4369060;674;5916;24;5,22;2022-09-28 08:12:03
